id;title;description;durationMinutes;movementType;intensity;suitableGoals;suitableWorkplaces;requiredSetup;suitablePhases;suitableWorkdayTypes;bodyArea;position;visibilityLevel;instructionStep1;instructionStep2;instructionStep3;instructionStep4;instructionStep5;instructionStep6;reason;explanation;similarityGroup;priority;migrationNote
neck-mobility-focus;Nacken kurz mobilisieren;Löse Schultern und Nacken mit einer kurzen Mobilisation direkt am Arbeitsplatz.;2;mobilize;gentle;back-neck|focus|habit;office|homeoffice;no-equipment;focus|between-tasks;focus-heavy|mixed-day;neck|shoulders;sitting;discreet;Setze dich aufrecht hin und stelle beide Füße stabil auf den Boden.;Lasse die Schultern locker nach unten sinken.;Neige den Kopf langsam zur rechten und danach zur linken Seite.;Drehe den Kopf anschließend langsam nach rechts und links.;Wiederhole jede Richtung ruhig und kontrolliert.;;Gut nach längerer Bildschirmarbeit.;Diese Empfehlung hilft dir, Nacken und Schultern nach Fokusphasen kurz zu entlasten.;neck-shoulder;92;requiredSetup 22 -> no-equipment
shoulder-circles-desk;Schultern kreisen lassen;Kreise die Schultern langsam nach hinten und vorne, ohne den Arbeitsfluss stark zu unterbrechen.;2;mobilize;gentle;back-neck|focus|habit;office|homeoffice;no-equipment;focus|meeting|between-tasks;focus-heavy|meeting-heavy|mixed-day;shoulders|upper-back;sitting;discreet;Setze dich aufrecht hin oder stelle dich locker an den Schreibtisch.;Lasse die Arme entspannt neben dem Körper hängen.;Kreise beide Schultern langsam nach hinten.;Wechsle danach die Richtung und kreise langsam nach vorne.;Halte die Bewegung klein, ruhig und gleichmäßig.;;Diskret und gut am Arbeitsplatz machbar.;Der Impuls passt, wenn Schultern und Haltung nach sitzender Arbeit kurz Aufmerksamkeit brauchen.;neck-shoulder;88;requiredSetup 22 -> no-equipment
seated-posture-reset;Sitzhaltung neu ausrichten;Rücke kurz vom Tisch weg, stelle beide Füße stabil auf und richte dich neu aus.;2;sit_reset;gentle;sit-less|back-neck|focus|habit;office|homeoffice;no-equipment;focus|meeting|between-tasks;focus-heavy|meeting-heavy|mixed-day;spine|lower-back|hips;sitting;discreet;Rücke ein kleines Stück vom Tisch weg.;Stelle beide Füße stabil und etwa hüftbreit auf den Boden.;Richte Becken, Rücken und Kopf bewusst neu aus.;Lasse die Schultern locker sinken.;Setze dich danach bewusst in einer leicht veränderten Position wieder an den Tisch.;;Hilft dir, langes Sitzen kurz zu unterbrechen.;Ein ruhiger Sitz-Reset bringt Bewegung in die Haltung, ohne dass du deinen Arbeitsplatz verlassen musst.;sit-reset;90;requiredSetup 22 -> no-equipment
breathing-reset;Atem-Reset im Stand;Stehe kurz auf, atme drei Mal ruhig ein und aus und öffne dabei sanft den Brustkorb.;2;breathing;gentle;focus|back-neck|habit;office|homeoffice;no-equipment;focus|between-tasks|meeting;focus-heavy|mixed-day;breathing|chest|shoulders;standing;normal;Stehe ruhig auf und stelle beide Füße stabil auf den Boden.;Richte den Oberkörper auf und öffne den Brustkorb leicht.;Atme langsam durch die Nase ein.;Atme ruhig und vollständig wieder aus.;Wiederhole drei bewusste Atemzüge und setze dich danach bewusst neu hin.;;Kurz, ruhig und passend nach Fokusphasen.;Der Atem-Reset schafft einen kleinen Wechsel, ohne aus dem Arbeitsmodus zu reißen.;calm-reset;86;requiredSetup 22 -> no-equipment
eyes-screen-break;Augenpause am Fenster;Blicke für kurze Zeit in die Ferne und löse den Blick bewusst vom Bildschirm.;2;sit_reset;gentle;focus|back-neck|habit;office|homeoffice;no-equipment;focus|between-tasks;focus-heavy|mixed-day;eyes;sitting;discreet;Löse den Blick bewusst vom Bildschirm.;Blicke aus dem Fenster oder auf einen entfernten Punkt im Raum.;Entspanne Stirn, Kiefer und Schultern.;Blinke einige Male langsam und bewusst.;Kehre danach mit frischem Blick zur Aufgabe zurück.;;Gut nach längerer Bildschirmarbeit.;Die Empfehlung ist unaufdringlich und passt besonders, wenn du konzentriert am Bildschirm gearbeitet hast.;screen-reset;89;"requiredSetup 22 -> no-equipment; movementType von eyes zu sit_reset verschoben; eyes liegt jetzt in bodyArea."
standing-reset-no-equipment;Kurzer Stand-Reset;Stehe auf, lockere die Beine und setze dich danach bewusst wieder anders hin.;2;stand;gentle;sit-less|habit|more-energy;office|homeoffice;no-equipment;focus|between-tasks|meeting;focus-heavy|meeting-heavy|mixed-day;legs|hips|whole-body;mixed;normal;Stehe ruhig vom Stuhl auf.;Stelle beide Füße stabil auf den Boden und lockere die Beine.;Verlagere das Gewicht langsam von einem Fuß auf den anderen.;Lasse die Schultern kurz locker kreisen.;Setze dich danach bewusst in einer leicht anderen Haltung wieder hin.;;Unterbricht eine Sitzphase ohne großen Aufwand.;Ein kurzer Standwechsel reicht oft, um aus statischem Sitzen herauszukommen.;stand-reset;87;requiredSetup 22 -> no-equipment
seated-spine-mobility;Mobilisation im Sitzen;Drehe den Oberkörper langsam nach rechts und links und bleibe dabei locker im Atem.;3;mobilize;gentle;back-neck|focus|habit;office|homeoffice;no-equipment;focus|meeting|between-tasks;focus-heavy|meeting-heavy|mixed-day;spine|upper-back|lower-back;sitting;discreet;Setze dich aufrecht hin und stelle beide Füße stabil auf.;Lege die Hände locker auf die Oberschenkel.;Drehe den Oberkörper langsam nach rechts.;Kehre zur Mitte zurück und drehe langsam nach links.;Wiederhole die Rotation ruhig mehrere Male.;;Passt gut, wenn du am Platz bleiben möchtest.;Die Bewegung bringt sanfte Rotation in den Oberkörper, ohne auffällig zu sein.;spine-mobility;84;requiredSetup 22 -> no-equipment
office-hallway-loop;Kurzer Weg durch den Flur;Nutze einen kurzen Weg im Büro, zum Drucker oder einmal durch den Flur.;4;walk;gentle;sit-less|more-energy|habit;office;hallway;between-tasks|phone|break;meeting-heavy|mixed-day;legs|whole-body;walking;normal;Stehe vom Arbeitsplatz auf.;Gehe in ruhigem Tempo einmal durch den Flur oder zu einem passenden Ziel.;Halte die Schultern locker und atme gleichmäßig.;Nutze den Weg bewusst als kurze Sitzunterbrechung.;Kehre anschließend ruhig an den Arbeitsplatz zurück.;;Nutze einen kurzen Weg im Büro, um eine längere Sitzphase zu unterbrechen.;Der Flur-Gang schafft Bewegung, ohne dass daraus eine lange Pause werden muss.;hallway-walk;93;
office-kitchen-printer-walk;Kleiner Büro-Weg;Verbinde einen ohnehin passenden Anlass mit ein paar ruhigen Schritten.;3;walk;gentle;sit-less|more-energy|habit;office;hallway;between-tasks|break;meeting-heavy|mixed-day;legs|whole-body;walking;normal;Wähle einen ohnehin passenden kurzen Anlass, zum Beispiel Küche oder Drucker.;Stehe auf und gehe in normalem, ruhigem Tempo los.;Bleibe nicht am Platz stehen, sondern nutze den Weg bewusst als Bewegung.;Gehe ohne Eile zurück.;Starte danach wieder mit einer aufgerichteten Haltung.;;Kurze Wege lassen sich im Büro gut als Microbreak nutzen.;Ein kleiner Gang zur Küche, zum Drucker oder durch den Flur unterbricht Sitzen niedrigschwellig.;hallway-walk;86;
office-stairs-light;Kurzer Treppenimpuls;Gehe ein paar Treppenstufen in ruhigem Tempo und beende den Impuls, bevor er anstrengend wird.;4;activate;balanced;more-energy|sit-less|habit;office|homeoffice;stairs;break|between-tasks|phone;meeting-heavy|mixed-day;legs|calves|whole-body;stairs;visible;Gehe zur nächstgelegenen Treppe.;Steige einige Stufen in ruhigem Tempo hoch oder runter.;Halte das Tempo so, dass du nicht außer Atem kommst.;Beende den Impuls bewusst frühzeitig.;Gehe ruhig zurück an den Arbeitsplatz.;;Ein kurzer Treppenimpuls aktiviert, ohne dass daraus ein Training werden muss.;Die Treppe eignet sich für einen kurzen Energieimpuls, wenn sie an deinem aktuellen Arbeitsort verfügbar ist.;stairs;94;
